Subject,Task,Winner,WinnerPosterior,NULL__UNC_INTRA_ONLY,NULL__UNC_FLEX,RELAY__UNC_INTRA_ONLY,RELAY__UNC_FLEX,DIRECT__UNC_INTRA_ONLY,DIRECT__UNC_FLEX,SENSORY_RELAY__UNC_INTRA_ONLY,SENSORY_RELAY__UNC_FLEX
sub-19,MDOG,SENSORY_RELAY__UNC_FLEX,0.999999999912289,2.6282732576352236e-128,1.2471833024037618e-106,2.511271256658926e-34,8.771084637940822e-11,1.3019455143681884e-57,3.3024682536385715e-40,5.8056917600458296e-24,0.999999999912289
sub-19,MGOD,SENSORY_RELAY__UNC_FLEX,0.999998714605201,1.2340374886099655e-39,2.1593593127800907e-35,5.180922605836428e-26,1.2853947989625725e-06,1.6872907049566632e-118,6.780478619141312e-74,5.454910514244281e-72,0.999998714605201
sub-19,MGOG,RELAY__UNC_FLEX,0.5560367096531011,2.446308325438125e-80,3.6160855326168286e-35,1.7800411065330854e-48,0.5560367096531011,7.893196137439848e-45,0.44396329017686,6.595049805723274e-53,1.7003893206761446e-10
sub-20,MDOG,SENSORY_RELAY__UNC_FLEX,0.9973793431907398,4.600313210200019e-46,1.072602924718387e-17,8.299608925561229e-41,0.0026206568092597615,2.0891661376537692e-49,4.579036570059643e-16,1.8624767476010678e-29,0.9973793431907398
sub-20,MGOD,SENSORY_RELAY__UNC_FLEX,1.0,3.548068892586766e-217,1.343846601769915e-178,3.373522568605033e-225,1.0100475954503781e-114,2.675898641398915e-228,3.542905513988559e-169,8.033979889675041e-197,1.0
sub-20,MGOG,DIRECT__UNC_FLEX,0.9939200113899826,1.5301279034330288e-36,2.5787462187240414e-06,2.085696790323345e-34,0.002297043244231663,2.0112693475752395e-34,0.9939200113899826,7.278212646347624e-37,0.0037803666195668478
sub-26,MDOD,RELAY__UNC_FLEX,0.7757270849756657,1.0070710181516966e-87,3.8910297237609875e-09,5.998914882377177e-81,0.7757270849756657,2.7639579711663634e-80,2.037256632942752e-06,5.744832140904004e-79,0.2242708738766717
sub-26,MDOG,SENSORY_RELAY__UNC_FLEX,1.0,2.3742942718085468e-167,4.115076589658373e-110,1.2346485617033663e-124,5.366740939034484e-44,4.022507798916791e-132,4.0763701295358055e-53,3.481864882563177e-85,1.0
sub-26,MGOD,RELAY__UNC_FLEX,1.0,1.428890875492689e-143,5.0811065469840446e-139,2.9203645760843323e-27,1.0,1.8049578196359283e-52,6.261060464252797e-49,1.4290498009326972e-24,1.3004911752612336e-21
sub-31,MDOD,RELAY__UNC_FLEX,0.9999999988893102,1.2275841467770092e-68,1.1106898245882162e-09,7.718345236750083e-60,0.9999999988893102,1.9973219301053124e-62,7.222467703952798e-17,4.4966590364007606e-57,2.7506017860323537e-18
sub-31,MDOG,RELAY__UNC_FLEX,0.99741029473183,1.9483952513759473e-05,0.0004512331543284402,1.2368214336165198e-05,0.99741029473183,1.2093699043535497e-09,0.00010013573369256845,6.418543856650087e-06,0.002000064460072717
sub-31,MGOD,RELAY__UNC_FLEX,1.0,2.6094049660759814e-42,1.0839096303950442e-41,1.1363905322040475e-26,1.0,1.4002515374917206e-27,6.447066601465495e-25,4.215657985254514e-31,1.638639509127126e-30
sub-31,MGOG,NULL__UNC_INTRA_ONLY,0.12507402224431033,0.12507402224431033,0.12495597637182605,0.1250459761890982,0.12492402519476543,0.12507402224431033,0.12495597637182605,0.1250459761890982,0.12492402519476543
sub-32,MDOG,SENSORY_RELAY__UNC_FLEX,0.9999999999387283,6.296104304561082e-26,3.8580968798791633e-20,6.250949779557541e-28,1.1384044186384794e-15,6.958062967506535e-24,6.118747675995477e-11,8.306062585680861e-14,0.9999999999387283
sub-32,MGOD,SENSORY_RELAY__UNC_FLEX,1.0,1.1967739725203013e-134,1.0822956607242701e-75,1.4014939560342617e-47,1.775311068559074e-26,7.294104791395047e-93,7.680401790886026e-34,4.943735034767114e-65,1.0
sub-32,MGOG,RELAY__UNC_FLEX,0.9916915938329224,1.0225678804968404e-24,4.420609814903061e-16,2.3226790121545452e-20,0.9916915938329224,7.579305637414251e-29,1.0355381240553543e-23,3.3386444835710393e-12,0.008308406163738591
sub-34,MDOD,SENSORY_RELAY__UNC_FLEX,1.0,3.856998386196215e-123,8.181178370137757e-48,1.0802095739399138e-122,2.4410709451459266e-48,7.031223901911592e-123,6.104982385097071e-49,5.45461882357968e-94,1.0
sub-34,MDOG,SENSORY_RELAY__UNC_FLEX,1.0,7.809371391498898e-96,2.054923596535462e-74,4.884203412351277e-83,5.251733270550936e-22,3.111417428409345e-102,1.7481787583394803e-73,1.4724944466190839e-71,1.0
sub-34,MGOD,SENSORY_RELAY__UNC_FLEX,1.0,2.0066247826150761e-199,7.031381033758154e-194,1.5270715379639463e-197,2.196725475425078e-193,3.6279134243115747e-289,2.0334011078963865e-278,1.024668052278174e-93,1.0
sub-34,MGOG,SENSORY_RELAY__UNC_FLEX,0.6102519938491444,2.6933377443992513e-20,0.056152508667308,3.744500620626436e-19,0.3083657314564192,3.5372054871707726e-21,0.0252297660271284,2.781900133567978e-20,0.6102519938491444
sub-41,MDOD,SENSORY_RELAY__UNC_FLEX,0.9994672312045075,7.13531166467385e-33,4.545163614696268e-08,2.3320936584600493e-32,0.0005314612617573158,2.2270307427685282e-32,1.2620820989944267e-06,1.050758621637157e-25,0.9994672312045075
sub-41,MDOG,RELAY__UNC_FLEX,1.0,8.056758671264493e-56,1.8533563752137836e-40,3.680662502129634e-21,1.0,1.5112305018884221e-52,8.9028597972027e-42,1.291964541056359e-57,1.8296725991567505e-31
sub-41,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999951815229156,3.9464167045554964e-28,2.7999124130831023e-14,2.745388574000912e-10,1.8910105711608239e-07,5.949188052654518e-23,4.628873031521893e-06,2.2842896621301926e-10,0.9999951815229156
sub-41,MGOG,RELAY__UNC_FLEX,1.0,2.37200952939257e-89,1.0265284264037002e-60,5.329424912465737e-90,1.0,1.772316669589128e-90,6.790746719023119e-54,9.775304998438484e-83,2.1207679558296163e-49
sub-42,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999999736416876,1.4345355049575244e-50,2.2751173598688606e-17,4.3647149661448854e-51,2.6358303328887006e-08,1.2186391054562771e-55,9.135954702286097e-15,1.3007933006572382e-51,0.9999999736416876
sub-42,MDOG,RELAY__UNC_FLEX,1.0,1.5942879431444184e-194,5.4609471988854914e-188,1.0471718804649833e-189,1.0,6.330235542166198e-179,1.4361669404636422e-175,4.750262725462855e-162,6.948811686508514e-59
sub-42,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999997379077287,3.0618622567296874e-59,4.768280178371843e-41,3.463704887820645e-40,2.6209227128128997e-07,8.388076634829292e-61,4.6102858771968535e-43,3.962709393194381e-41,0.9999997379077287
sub-42,MGOG,SENSORY_RELAY__UNC_FLEX,0.9999999904261115,5.7055515271239784e-67,2.0829703602602867e-09,6.412838159904958e-67,5.089606802998004e-09,3.8733025645488506e-67,2.401311401969931e-09,9.476549377256006e-66,0.9999999904261115
sub-43,MDOD,SENSORY_RELAY__UNC_FLEX,0.7280990159545622,6.127834058041166e-30,7.2147402908643e-27,1.6533936351617166e-23,8.054641168170964e-17,4.582556322206673e-16,1.2452688283804668e-15,0.27190098404543595,0.7280990159545622
sub-43,MDOG,SENSORY_RELAY__UNC_FLEX,0.9605181026504249,3.852352930911636e-50,5.445184145475929e-29,2.4064586011724654e-45,0.039481897344465944,2.871040026539411e-45,5.109332460806567e-12,1.3551777812980219e-17,0.9605181026504249
sub-43,MGOD,RELAY__UNC_FLEX,0.9984049523380546,1.2949411531536139e-102,0.0015947294806523734,1.2171665637347651e-102,0.9984049523380546,1.9279069540105573e-102,1.6416460492793186e-18,2.373629611805001e-80,3.1818129321197183e-07
sub-43,MGOG,NULL__UNC_FLEX,0.7862420838825657,1.1043736474711105e-09,0.7862420838825657,6.126601883772359e-10,0.20960637981792257,4.192259756026041e-10,0.0015409432365166194,3.7004415175003566e-08,0.0026105539223202027
sub-45,MGOD,SENSORY_RELAY__UNC_FLEX,0.9985620615047655,2.1317069059240036e-130,4.775831406919218e-128,1.1074649895212515e-82,4.30716879917039e-64,1.8778401686099853e-86,4.41764128516689e-84,0.0014379384952345603,0.9985620615047655
sub-51,MDOD,RELAY__UNC_FLEX,1.0,1.3073701740756083e-112,6.554046093181432e-44,2.4793854303469203e-102,1.0,4.675189323195754e-105,1.3059173941237205e-42,9.506124650623384e-102,3.341860101608465e-41
